identifier,note_fr,disc,note_en
A1111,Champ de course avec trois cavaliers au passage de la ligne d'arrivée. Noir et blanc.,1.1, Racetrack with three riders crossing the finish line. Black and white.
A1111X ,Enfant avec bonnet et écharpe bleue en anorak multicolore devant sapins enneigés.,1.1, Child with cap and blue scarf in multicolored anorak in front of snow-covered fir trees.
A1112 ,Armoire ancienne en bois noir.,1.1, Antique black wooden wardrobe.
A1113 , Canapé blanc recouvert de moitié d’une bâche plastique grise.,1.1, White sofa half covered with grey plastic sheeting.
A1113X , Deux hommes en costume et cravate assis devant un miroir.,1.1, Two men in suits and ties sitting in front of a mirror.
A1114 , Deux canapés blancs superposés.,1.1, Two white sofas on top of each other.
A1115 , Groupe de chaises imbriquées devant trois meubles à étagère en plastique transparent.,1.1, Group of interlocking chairs in front of three clear plastic shelving units.
A1116 , Meuble à étagères en bois années soixante.,1.1, Sixtie's wooden shelving unit.
A1117 , Sofa blanc trois places.,1.1, White three-seater sofa.
A1118 , Classeur ouvert avec photos de lits.,1.1, Open filing cabinet with photos of beds.
A1119 ," Homme avec enfant devant la mer, balustrade en arrière-plan. Image avec pliure.",1.1," Man with child in front of the sea, railing in background. Image with fold."
A1120 , Sofa en tissu damassé blanc posé sur une table en bois.,1.1, Sofa in white damask fabric on wooden table.
A1120X , Table à manger et quatre chaises à garniture de velours vert.,1.1, Dining table and four chairs with green velvet upholstery.
A1121 , Homme de trois quart. Noir et blanc.,1.1, Three-quarter man. Black and white.
A1121X ," Homme souriant de face, une main sur la joue.",1.1, Man smiling from the front with one hand on his cheek.
A1121XX , Homme souriant à chemise rayée buste tourné.  ,1.1," Smiling man in striped shirt, bust turned. "
A1122 , Arbres et un sapin avec arrière-plan de ciel nuageux.,1.1, Trees and a fir tree with cloudy sky background.
A1122X , Femme bras croisés à pull bicolore marron et noir et clips d’oreille bleus.,1.1," Woman with crossed arms, two-tone brown and black sweater and blue ear clips."
A1123 , Homme en bras de chemise et cravate penché sur trois planches à voile. ,1.1, Man in shirt arm and tie leaning over three sailboards.
A1123X , Boutique à façade jaune avec “Grande braderie “affiché sur la vitrine.,1.1," Yellow-fronted store with ""Grande braderie ""displayed in the window."
A1124 , Placard en bois à panneaux coulissants.,1.1, Wooden cupboard with sliding panels.
A1124X , Peinture de paysage sous cadre.,1.1, Landscape painting under frame.
